Timestamp,Temperature (°C),Atmospheric Pressure (hPa),Cloud Cover (%),Visibility (m),Relative Humidity (%),Wind Speed (km/h),Precipitation (mm/h),10_Year_Avg_Temperature (°C),10_Year_Avg_Atmospheric Pressure (hPa),10_Year_Avg_Cloud Cover (%),10_Year_Avg_Visibility (m),10_Year_Avg_Relative Humidity (%),10_Year_Avg_Wind Speed (km/h),10_Year_Avg_Precipitation (mm/h)
2016-08-08 11:00:00,22.1,1015.3,100,,91,12.1,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2016-08-08 12:00:00,22.3,1015.3,100,,90,11.6,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2016-08-08 13:00:00,23.3,1015.1,100,,83,11.9,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2017-08-08 11:00:00,23.5,1022.3,17,,59,8.8,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2017-08-08 12:00:00,24.5,1021.9,21,,55,9.5,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2017-08-08 13:00:00,25.5,1021.3,41,,49,10.2,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2018-08-08 11:00:00,28.2,1015.6,100,,61,6.0,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2018-08-08 12:00:00,29.1,1015.9,96,,53,7.1,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2018-08-08 13:00:00,29.7,1015.3,94,,47,7.1,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2019-08-08 11:00:00,26.4,1014.5,100,,74,7.0,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2019-08-08 12:00:00,26.6,1014.1,100,,72,6.3,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2019-08-08 13:00:00,27.4,1013.8,100,,67,5.4,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2020-08-08 11:00:00,21.7,1019.2,100,,98,13.7,1.4,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2020-08-08 12:00:00,23.4,1018.7,100,,91,12.8,0.1,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2020-08-08 13:00:00,25.5,1018.0,97,,80,13.4,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2021-08-08 11:00:00,28.1,1011.5,100,,67,13.2,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2021-08-08 12:00:00,30.1,1011.2,92,,61,13.0,0.1,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2021-08-08 13:00:00,29.9,1010.8,96,,61,12.1,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2022-08-08 11:00:00,29.9,1015.5,91,,64,11.4,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2022-08-08 12:00:00,32.2,1014.7,91,,55,8.7,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2022-08-08 13:00:00,32.3,1014.1,99,,54,7.5,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2023-08-08 11:00:00,25.8,1016.1,33,,64,7.9,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2023-08-08 12:00:00,26.9,1015.4,17,,60,7.9,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2023-08-08 13:00:00,28.1,1014.3,6,,55,6.1,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2024-08-08 11:00:00,23.1,1016.3,100,,69,8.8,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2024-08-08 12:00:00,22.7,1015.5,100,,72,2.9,0.3,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2024-08-08 13:00:00,21.9,1014.1,100,,82,8.6,0.6,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2025-08-08 11:00:00,29.7,1014.8,29,,63,22.4,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2025-08-08 12:00:00,31.2,1014.2,23,,58,23.8,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
2025-08-08 13:00:00,32.4,1013.5,21,,53,24.4,0.0,26.78333333333334,1015.61,75.46666666666667,,66.93333333333334,10.719999999999999,0.08333333333333333
